time,ws_mb,priv_mb,handles,threads,gdi,user,winui_tot_vis
14:33:14,408.5,272.4,2485,63,101,151,112708
14:33:19,426.6,291,2658,64,101,149,112608
14:33:24,444.9,310.6,2646,70,101,161,112808
14:33:29,445.9,311.4,2607,73,101,156,112608
14:33:34,450.2,315.7,2608,68,101,152,112608
14:33:39,453.7,318.8,2593,68,101,152,112607
14:33:44,455,320,2528,70,101,153,112608
14:33:49,453.7,315.6,2558,73,101,156,112608
14:33:54,453.7,315,2526,72,101,155,112608
14:33:59,453.8,314.8,2503,70,101,152,112608
14:34:04,455.3,317,2522,71,101,153,112608
14:34:09,472.7,336.9,2679,77,186,163,122709
14:34:15,495.9,361.4,2862,88,174,176,132810
14:34:20,501,361.8,2850,89,167,177,132810
14:34:25,501.8,362.8,2825,89,166,177,132810
14:34:30,505.5,366.6,2915,90,166,187,132809
14:34:35,505.9,366.6,2908,90,166,186,132809
14:34:40,501.5,361.8,2821,85,166,174,122708
14:34:45,502.5,363.8,2816,85,166,176,122708
14:34:50,502.7,364.3,2822,83,166,174,122708
14:34:55,510.4,371.7,2867,78,166,173,122808
14:35:00,513,374.4,2799,74,166,167,122909
14:35:05,514.5,374.9,2792,81,166,164,122708
14:35:10,514.4,374.8,2739,82,166,167,122708
14:35:15,531.8,392.4,2910,81,166,171,122808
14:35:20,543.4,402.3,2914,81,166,168,122708
14:35:25,574.2,433.9,3068,76,166,165,122708
14:35:30,561.8,421.7,3012,77,166,166,122708
14:35:35,565.1,424.7,2787,76,166,164,122708
exited,14:35:40
